length_cm,AMERICAN PLAICE,COD(ATLANTIC),HERRING(ATLANTIC),ATLANTIC HALIBUT ,REDFISH UNSEPARATED,"TURBOT, GREENLAND HALIBUT",HADDOCK,SANDLANCES,SILVER HAKE,SPINY DOGFISH,WHITE HAKE,WITCH FLOUNDER,YELLOWTAIL FLOUNDER,YEAR
24,82356788.3,7573780.577,,,134675789,319024.8563,1813091.199,2755605797,5975175.439,,786609.8795,1310820.702,35004714.17,1970
25,76634725.73,25362513.78,1849152.889,,88428221.14,290746.5236,1226721.987,2142411802,13307986.42,,1270338.531,2788019.174,39062045.4,1970
26,56965891.83,3964302.403,,,64170450.48,,990950.1368,708144853.6,30295919.56,,1247057.253,2692113.781,37622528.72,1970
27,60367098.46,4251708.747,,,49840517.58,,232767.8922,267846767.8,56937764.61,,973231.6549,2407434.227,41075515.7,1970
28,35267189.67,10927904.6,15642669.79,,44049857.36,,48729.81754,44035237.68,64512769.06,,738474.4942,1330053.248,35358392.24,1970
29,43037985.01,1268115.834,43967346.29,,34574447.1,,256384.7977,,50008961.22,,780892.5355,3293136.542,24332194.55,1970
30,32288995.12,837093.0747,59621804.23,,32494702.52,,1135354.394,,23716761.82,,690265.3251,2134337.292,23956779.13,1970
31,28347432.76,3601017.677,55229364.6,,29163750.95,,1296122.866,,17006240.51,,344236.4749,2515844.323,16999448.4,1970
32,21265594.41,1699549.032,,,22953434.69,,1535173.95,,7921423.398,,225815.0702,1488474.557,14337521.42,1970
33,19756567.58,765999.1189,97404967.28,,20170360.89,,789779.2115,,5867011.961,,544907.7627,1919399.932,10582441.41,1970
34,16305336.46,2086949.861,141376666.3,125577.4839,17996624.42,,876002.5897,,5073845.53,,304776.2159,1186969.341,8695609.556,1970
35,9408941.973,566875.7578,135423598.6,,14285275.3,,216581.5217,,2025776.066,,375822.5493,797421.1194,6664750.571,1970
36,8512881.7,1268608.834,173195752.2,,9586371.669,,1223545.209,,3167839.574,,339307.0954,1417768.572,7072407.712,1970
37,6776289.378,1210276.009,223803694.3,102809.2104,9176463.506,,1017122.467,,1773836.651,,448628.0128,932429.0901,4752563.166,1970
38,4473622.569,941300.8933,165111541.3,,4868840.779,,1196734.195,,563225.1697,,219319.3225,1406590.634,3087400.354,1970
39,3377193.394,765015.9291,20537564.44,,3152522.551,,1052326.918,,1407370.217,,171935.5833,774840.341,2048361.692,1970
40,3779057.322,1469642.642,12608211.56,,2046486.432,,1374049.82,,297620.3808,,105374.2345,529306.2242,1847720.215,1970
41,2627664.068,1069152.934,868600,31880.57888,1496725.275,,1686360.768,,932975.2841,,198618.2325,1112936.709,1984441.802,1970
42,3088848.696,541603.2802,,,2007747.646,49386.29237,1502284.058,,,,314325.7947,672930.1078,1390355.339,1970
43,2139424,2672516.839,,122020.2307,1541806.527,47193.45786,1300612.421,,346430.4563,,239891.7397,655735.1296,585301.4287,1970
44,1230408.623,967040.7946,,,1529869.246,45231.00529,1561640.327,,335936.7329,,306462.8944,539673.5492,134251.4041,1970
45,815790.0687,907868.0477,,,684263.8067,43474.73044,1502737.128,,271203.0784,,137859.6659,711413.408,434065.0081,1970
46,2299061.54,3123924.999,,,404989.8455,44352.94418,902047.1218,,219370.7367,,123332.2201,456649.8717,245100.581,1970
47,632106.2339,1116336.903,,62061.2678,52736.48909,,1051058.456,,,,72258.01041,783684.5707,51342.87276,1970
48,1181432.671,1214470.394,,20684.47967,138401.037,39237.49905,745450.1174,,141899.4285,,,412782.3449,37051.24544,1970
49,546886.3918,3958869.459,,,54467.32349,,871063.6596,,,,95213.45073,549472.6574,,1970
50,810937.1117,485636.6767,,,,,869965.2653,,134719.3215,,179273.2616,646331.7466,,1970
51,1140056.648,1072668.201,,,,,1065073.668,,182272.4501,,212168.1316,375930.6354,,1970
52,647209.8318,3415331.958,,54240.11813,,,895928.2835,,137931.4821,,96940.6939,175594.7635,,1970
53,453240.4265,1039224.855,,,,,675087.732,,,,228763.2014,257410.6,,1970
54,194451.2139,890867.3369,,,,32011.31985,385244.5827,,,,223691.9782,247099.024,,1970
55,408860.3878,2830078.853,,,,35409.11236,251951.5566,,,,166521.4051,50256.90077,,1970
56,597170.8884,615351.4555,,,,,549152.298,,,,379239.7743,24695.00758,,1970
57,329912.4022,920000.4935,,,,34361.15481,417714.3917,,,,113924.5591,,,1970
58,91939.18234,1388786.435,,,,67852.70787,362981.6047,,,,150682.3243,24122.3359,,1970
59,7600.445672,339269.562,,,,,322829.8529,,,,262470.6656,35894.37143,,1970
60,55740.85898,438775.5784,,,,,194842.352,,,,132005.4692,136105.4023,,1970
61,342864.7482,1343922.496,,,,,96819.26004,,,,381811.8084,26296.77741,,1970
62,423110.066,568464.737,,,,,205360.0407,,,,204793.7172,,,1970
63,208261.8106,369626.4478,,,,,241401.0172,,,,98812.0217,,,1970
64,,613372.4403,,,,,403457.069,,,,158652.8465,,,1970
65,,400372.4715,,,,,223943.3509,,,,231652.3622,,,1970
66,,108868.1848,,,,,293304.6685,,,,193605.5092,,,1970
67,,477323.1895,,,,,198820.4409,,,,264067.0343,,,1970
68,35847.57515,489501.3406,,50921.99987,,,21668.73988,,,,67371.76092,,,1970
69,,133343.1549,,,,,55050.81913,,,,377173.521,,,1970
70,,221558.3438,,,,,63757.29777,,,,216354.9522,,,1970
71,,366020.5731,,,,27613.40483,42552.86203,,,,222003.7353,,,1970
72,,73364.83647,,,,,83022.68882,,,,256193.3058,,,1970
73,,355180.0798,,75453.37907,,,20722.60662,,,,78289.66472,,,1970
74,,260824.25,,75271.76538,,,20568.09328,,,,303391.5516,,,1970
75,,255882.6037,,,,,,,,,275655.1869,,,1970
76,,164082.192,,,,,,,,,76158.46646,,,1970
77,,131052.4891,,,,,20161.36367,,,,,,,1970
78,,115718.5572,,,,,20042.74897,,,,32143.04493,,,1970
79,,,,,,,,,,,77047.96416,,,1970
80,,,,,,,,,,,125379.7161,,,1970
81,,92415.35085,,,,,,,,,82714.43478,,,1970
82,,106444.1622,,,,,,,,,,,,1970
83,,42569.26978,,,,,,,,,41230.65403,,,1970
84,,207853.0022,,,,,,,,,,,,1970
85,,139028.3202,,,,,,,,,,,,1970
86,,72947.02942,,,,,,,,,,,,1970
88,,144629.9646,,,,,,,,,,,,1970
91,,23079.24105,,,,,,,,,,,,1970
96,,23073.90866,,,,,,,,,,,,1970
98,,72892.04562,,,,,,,,,,,,1970
102,,22188.61183,,,,,,,,,82093.23788,,,1970
103,,72885.76712,,,,,,,,,,,,1970
105,,72884.26026,,,,,,,,,,,,1970
110,,42510.59487,,,,,,,,,,,,1970
111,,93126.51411,,,,,,,,,,,,1970
136,,72879.69331,,,,,,,,,,,,1970
7,,,,,1694942.19,,881092.6972,,,,,,,1971
8,,1191983.159,,,7947967.804,,551569.0413,,,,227126.009,,,1971
9,,2728610.517,,,5092958.705,,,,,,,,,1971
10,1861278.672,1805167.158,,,3566294.141,,,,,,,,,1971
11,3895221.047,,,,6397266.062,,,,,,,,,1971
12,18267907.08,,,,14178350.57,,,,566102.5936,,,,,1971
13,11942692.45,,,,23821781.34,,,,,,,,1815268.308,1971
14,15626698.09,,,,15551627.5,1198912.558,,,2562266.901,,,,4106450.79,1971
15,12366749.16,6008229.208,,,13968849.97,,,,791356.9621,,621010.3681,,2083031.317,1971
16,20505865.55,3321546.519,,,7251338.199,,,,1167441.242,,,772872.96,719813.3686,1971
17,44081286.71,13381299.21,,,15057817.02,,241789.112,,6145887.766,,,,6488522.099,1971
18,44004546.91,6007271.358,,,20515039.51,,656661.5941,,7545231.847,,,314952.1646,11394941.76,1971
19,55094038.97,2730668.335,,,26186417.26,,1157365.069,5096795.933,5677216.381,,,,9297445.026,1971
20,44205442.36,3927787.591,,,33670576.95,,1229524.054,5096795.933,4830697.184,,,214749.3984,13911764.08,1971
21,56347590.43,3771443.837,,,38270772.75,,2246444.112,10193591.87,4442129.686,,255319.3509,233500.7564,24335682.4,1971
22,65036946.45,2789019.611,,,35497294.84,,4244577.449,5141345.588,2934019.231,,275753.9867,854281.5315,27950788.52,1971
23,76514907.54,3285864.819,,,34738303.85,,2380789.64,5096795.933,1307790.916,,74449.68891,384927.1875,19350341.32,1971
24,58729114.35,3995607.224,,,43721209.87,,3638028.178,,396651.8613,,367929.4419,145932.3455,26976762.13,1971
25,55968177.45,4636005.415,2594218.667,,73538034.11,,672307.5552,,645514.8528,,987688.3848,588724.8432,21940841.99,1971
26,63532134.8,4119146.422,2450610.133,,71329908.16,,2104457.252,,850262.3645,,,915377.03,40388236.21,1971
27,61611569.72,5572318.868,5173510.281,,60921327.71,,651993.1666,,7923789.847,,677186.5244,767153.0898,33241051.45,1971
28,33277012.84,5793553.234,9810161.422,,38402944.77,,1470003.115,,12757959.68,,285261.2658,2437536.032,30608851.91,1971
29,35707858.71,5969019.183,866862.8,,35472467.61,,881412.4694,,10386001.43,,280311.83,1258510.12,20479339.3,1971
30,31130488.71,4841616.446,14280363.07,,44920596.84,,3373590.553,,6580332.256,,480735.1486,1403299.087,29267219.67,1971
31,25234171.68,20478123.98,30761340.32,,31485094.18,,2965583.243,,4667539.008,,298377.1579,3497332.075,17147724.14,1971
32,22556800.59,7589609.355,,,28976583.79,,5876693.931,,3017107.457,,362479.66,2715416.428,13136129.3,1971
33,15957962.35,5695351.925,41083469.48,,20402077.83,228196.8723,1468862.153,,2169965.371,,818004.4018,2451440.362,10627350.12,1971
34,11043833.41,20888864.42,38022172.59,,20734371.37,,3290335.217,,811463.2246,,628210.8092,2736817.993,7309128.461,1971
35,10306538.78,5092554.074,49548929.22,,22526442.99,,848932.5346,,523941.4909,,449810.1855,2247206.233,5361730.236,1971
36,9302272.767,3983053.742,52305606.43,,19014272,,1597039.967,,369720.4194,,543285.0007,2629639.399,7046966.698,1971
37,6961021.661,11012856.58,87461561.18,,12953148.65,,433353.9023,,184313.2239,,850706.9036,3322983.548,2304507.804,1971
38,5627973.052,2853930.409,88332611.08,,5511462.377,443121.3043,490901.8685,,44442.65739,,610930.6781,1689908.493,3009129.332,1971
39,5260577.756,3300965.283,42246031.38,,3672791.144,139436.5936,535030.3785,,115853.4579,,523687.1515,2905627.781,970835.8696,1971
40,4422592.687,8844735.97,7681096.615,,2957232.032,,1116188.709,,,,781279.7101,2559626.53,1347446.028,1971
41,4655996.97,2634104.265,,,1548100.862,,544145.2462,,156105.7907,,312159.3459,1344042.98,811657.9808,1971
42,3246186.822,2353018.335,,,1725076.848,,1287241.807,,36000.92068,,186501.1046,1011853.881,383226.3136,1971
43,2965335.388,4678948.604,,,1492393.498,,1321398.016,,,,113946.359,762043.0351,191641.7298,1971
44,2201522.284,1505914.163,,,534686.7118,,1655337.839,,,,348382.4568,897077.7265,245806.6343,1971
45,1176661.431,2024931.782,,,515442.6447,105180.7995,498580.3658,,64936.8493,,107366.7906,666338.6443,115459.8321,1971
46,2132971.334,5890045.012,,,68830.33614,,965545.2839,,,,87058.03772,583419.3531,110321.2818,1971
47,2095721.105,2693065.178,,,78667.35714,,568708.1413,,77852.453,,84598.76608,479589.9243,,1971
48,2038467.335,3011372.964,,,,,1041865.772,,,,299959.577,456004.6508,,1971
49,1116542.184,4584403.192,,,,102082.7932,278753.7856,,,,113959.0835,416775.2061,29648.02748,1971
50,2048379.581,2642550.538,,,,,920019.5449,,,,17829.43905,249169.8118,518166.4632,1971
51,861016.19,1838384.015,,,,,393571.1048,,,,103923.7228,443126.4615,,1971
52,633331.2417,6907256.13,,10379.14136,,,524617.8584,,,,85077.24415,340623.9405,,1971
53,860228.2758,2261661.292,,,,,334053.0466,,,,16770.5471,290897.4752,,1971
54,359643.114,1747047.035,,,,76827.16764,263018.3947,,,,,186273.8108,,1971
55,577716.2359,4162525.719,,,,,219694.181,,,,169398.7157,143334.2736,,1971
56,338233.6947,2482358.314,,,62245.89553,,241764.15,,,,53227.50184,,,1971
57,1210745.541,1356242.618,,,,,222550.9125,,,,50476.66227,,,1971
58,258062.0026,3885747.353,,,,,177874.0196,,,,,68674.81343,,1971
59,304826.0556,1553303.992,,,,,64587.61237,,,,,67879.21837,,1971
60,335132.6675,1416712.908,,,,,48264.33827,,,,45577.33593,,,1971
61,83334.1246,1991877.555,,,,,103662.1995,,,,217558.2221,,,1971
62,82449.683,1356083.789,,16586.65177,,,107649.7017,,,,14899.79386,,,1971
63,439630.0718,860616.8701,,,,,46201.77287,,,,62126.8276,,,1971
64,,484428.704,,58876.00406,,,27363.98683,,,,14656.56999,,,1971
65,213936.7242,438249.9598,,18536.22512,,,25381.28291,,,,,,,1971
66,,780951.2336,,58174.35318,,35959.22041,22297.13298,,,,58527.74433,,,1971
67,38654.01087,352245.1775,,57877.79322,,,235976.9037,,,,12403.11438,,,1971
68,,81924.76482,,,,,21818.698,,,,18254.87322,,,1971
69,32334.30906,175547.218,,,,,,,,,26484.26823,,,1971
70,,299076.0824,,,,,,,,,63377.63909,,,1971
71,,232298.3062,,,,,59361.73347,,,,,,,1971
72,,325320.6421,,,,,,,,,,,,1971
73,,110109.5353,,13853.32598,,,,,,,41940.89181,,,1971
74,,110026.2894,,,,,,,,,156818.3576,,,1971
75,,52944.93714,,,,,,,,,,,,1971
76,,12026.06875,,,,,,,,,72383.63915,,,1971
77,,21257.77105,,17800.68299,,,,,,,,,,1971
78,,126076.5386,,,,,,,,,,,,1971
79,,,,,,,,,,,69468.68448,,,1971
80,,300527.3202,,,,,,,,,,,,1971
83,,352101.6227,,,,,,,,,13666.13966,,,1971
85,,,,,,,,,,,13691.85814,,,1971
86,,21207.66494,,,,,,,,,,,,1971
87,,,,28653.33455,,,,,,,,,,1971
90,,,,,,,,,,,54937.46911,,,1971
91,,53698.0142,,,,,,,,,,,,1971
100,,53680.38381,,,,,,,,,,,,1971
105,,11981.45003,,,,,,,,,,,,1971
111,,71736.33301,,,,,,,,,,,,1971
124,,171611.697,,,,,,,,,,,,1971
4,,,,,,,302091.3404,8195141.168,,,,,,1972
5,,,,,,,,39336677.6,,,,,,1972
6,2843440.127,,,,154309.2371,,656122.7846,44253762.3,,,,,,1972
7,2454198.092,,,,765287.3238,,,22946395.27,,,,,,1972
8,2997689.604,,,,2557272.039,,237057.0157,1639028.234,,,,,,1972
9,12992772.11,,,,932675.2283,,,,,,,,,1972
10,17665615.58,,,,1163488.856,,,,,,,,,1972
11,19849037.5,,,,4723769.797,,,,615713.6565,,,,1056158.356,1972
12,3263223.859,,,,3957476.854,,,,,,,1482139.985,949849.2864,1972
13,10719279.19,,,,6785509.172,,,,519739.3847,,,,3637352.286,1972
14,14091095.94,,,,11656312.01,,,,2860032.552,,,1270766.576,978967.7528,1972
15,20659702.61,420325.6378,,,41958227.28,,,,8574446.077,,69617.23372,1081923.898,1276911.552,1972
16,19175987.86,6532507.307,,,39810399.52,,,,8954017.48,,64130.0858,563196.3315,2788554.408,1972
17,29875617.16,3191791.526,1049268.8,383808.833,80984473.42,,377329.5998,,15998317.33,,,,6278812.41,1972
18,28607337.47,4239134.154,1049268.8,,89500717.3,,458669.358,50229407.53,15688318.45,,,,7607672.9,1972
19,37712841.56,35887199.91,1573903.2,,86122256.22,,2218624.976,50229407.53,17089794.76,,,,4265425.472,1972
20,54580557.43,4160912.89,,,78547705.94,,3124429.98,432574700.9,15898241.73,,,142951.4164,7564182.475,1972
21,47951093.78,2736590.514,2050668.089,,69747514.39,,2571888.95,2957562689,11973136.78,,,162166.5131,10373643.38,1972
22,55787151.43,12013973.88,2002798.578,,56161166.53,,2585055.922,6818513869,21525727.62,,,,15344554.74,1972
23,62463136.14,1595721.892,2002798.578,,46552030.09,,2423477.031,7521725574,13679543.28,,,106924.2188,18205684.39,1972
24,61056306.12,840037.922,,,41867507.42,,1128685.103,5615230619,4434852.406,,,583372.7247,15770876.78,1972
25,63334974.9,3684696.095,,,36742493.5,,113566.5148,1977696017,14126737.81,,,1065539.722,17952235.9,1972
26,59275972.64,1885413.074,2042175.111,,40049585.93,,1069197.396,405585084.9,29021746.24,,,1353611.887,23097517.84,1972
27,39201483.9,1145893.541,1049268.8,,25624206.61,,475957.7667,,39848051.59,,162554.5558,600805.8718,24590760.71,1972
28,47894853.65,2868356.293,,70433.14057,22381421.59,,1077787.62,,36894627,,178218.3937,1083132.953,35292146.84,1972
29,32479880.95,1265472.296,,,12675836.8,,95764.81334,,20291750.32,,95038.33278,665352.739,29273385.87,1972
30,31805328.84,1784348.503,,,15720907.83,,1257508.583,,10835620.76,,161640.4332,1319762.163,27642220.47,1972
31,24874680.42,5154740.412,13865664.28,,11498886.38,,1214742.693,,4558685.944,,247809.4666,1914893.994,23062384.75,1972
32,21001892.31,2224135.408,,65884.40149,9930055.923,,1249340.954,,5653787.062,,,1701438.86,22955475.16,1972
33,12463179.68,1978459.108,8289509.647,,6300436.219,,942924.2157,,3510759.667,,34746.13934,1858617.024,18525556.37,1972
34,10388499.08,3472537.942,28040669.12,,8913665.366,,898563.4201,,1881717.345,,296158.8857,2902770.374,13215849.9,1972
35,8723411.782,1631620.36,30632588.93,78087.88103,6664090.099,,482596.3755,,3004623.214,,,1880702.214,9561658.011,1972
36,7553094.834,1356068.983,32689982.32,80874.28096,5833486.694,,721927.7619,,1859629.533,,16014.05542,1491116.835,6995040.697,1972
37,8218750.1,1801847.999,58318079.75,,4878890.155,,593845.9137,,768511.8541,,288234.1235,1770683.011,5608076.283,1972
38,5304824.952,1744274.34,77126600.47,,3596353.56,288709.0201,570440.5927,,241304.3924,,104699.0237,937294.5068,3929859.95,1972
39,5022321.385,1446807.282,81978468,,2385972.311,50853.3459,374973.9703,,25580.95647,,13909.22763,1432251.944,3138084.737,1972
40,3272118.553,9207611.797,55520912,,935414.5935,,645553.2099,,,,588709.2944,794340.6432,1627507.517,1972
41,2229834.694,1210693.194,5804178.222,,415298.4992,,672099.007,,229114.8511,,288880.6413,994011.001,774085.0998,1972
42,1636119.595,1041544.238,,,549175.2047,,561009.4901,,313365.5747,,138241.4813,616291.6284,456948.4646,1972
43,1513228.417,16894943.84,,,152933.9878,,263584.7463,,110896.9169,,1016308.9,651396.142,611511.3149,1972
44,1516403.078,1117816.624,,,70753.58456,,349817.2411,,32755.62142,,313994.3941,735650.5107,150209.6623,1972
45,1675964.986,870567.5155,,,,,313851.1677,,40697.28465,,226003.5374,424005.6203,164113.0826,1972
46,1156358.062,12322796.92,,,23708.22689,,281829.6216,,,,1068220.002,275185.8154,60668.94119,1972
47,1007443.303,1133476.692,,,41087.16719,,633182.4548,,135652.3333,,205484.4511,325027.6866,,1972
48,710978.2528,788683.1592,,,,,251687.394,,,,191622.8883,353563.3029,162203.8685,1972
49,616252.8587,3427275.663,,,,,215335.595,,56748.24148,,1277589.506,251178.4848,32388.68494,1972
50,650363.8465,2342974.797,,25136.089,,,613770.9651,,27715.81583,,210982.3905,484890.7506,,1972
51,425462.1397,1835148.241,,,,,505382.6236,,68352.16878,,77668.90057,373009.2324,,1972
52,222211.6798,722575.8889,,,,,95532.82548,,,,831182.2866,488140.7211,29425.77622,1972
53,207783.0463,1777641.351,,,,133359.9725,332799.6598,,,,54371.87903,165961.0588,28824.94692,1972
54,418637.1331,1538357.491,,,,,106208.9329,,,,63961.31784,34606.35918,,1972
55,262887.4122,1626903.055,,,,,261000.1223,,,,650697.0033,103651.16,,1972
56,436876.3153,970992.5261,,,,,205958.1944,,87838.30668,,51770.74916,167565.2494,,1972
57,422756.7766,807773.9765,,17968.95022,,,98117.1655,,,201556.7242,156389.8137,180245.227,,1972
58,435250.4089,1394809.02,,,,,99769.9711,,,99485.24111,433209.1369,82183.02317,,1972
59,71728.61958,1428969.941,,,,,53945.03461,,84494.4718,,208296.1995,,,1972
60,176606.2815,731806.8311,,,,,29880.81707,,59531.87828,97231.64998,67674.00232,80174.60983,,1972
61,25543.99571,689702.6159,,,,,151628.172,,,,306466.9127,21915.76643,,1972
62,216609.1312,546632.5199,,,,,38853.51335,,,,103470.7907,,,1972
63,138938.7833,126556.5304,,,,,200400.8028,,,,115773.1107,,,1972
64,95117.7881,332420.08,,,,24261.95383,42706.44195,,,,341276.1848,,,1972
65,261194.1762,310515.8503,,,,,49988.87226,,,,172930.7587,,,1972
66,37001.97154,54976.74832,,,,,,,,185016.6476,55601.35712,,,1972
67,,163896.0774,,,,,,,,183891.7344,13858.63371,,,1972
68,51210.82165,221634.544,,,,,102952.0285,,,,7972.176515,,,1972
69,60579.48484,113883.2267,,,,,10943.35805,,,,7931.418036,,,1972
70,,167525.9146,,24827.10287,,,,,,90539.48441,218480.7509,,,1972
71,94076.83811,,,,,,,,,,24359.54507,,,1972
72,,48198.39348,,,,,,,,89796.79326,,,,1972
73,32633.15479,46055.66094,,,,,,,,357895.6101,,,,1972
74,,14196.3135,,,,,,,,356718.1578,18178.34567,,,1972
75,,39012.05894,,16079.62297,,,,,,266733.5508,,,,1972
76,,,,,,,,,,177333.0744,,,,1972
77,,99765.24267,,,,51596.54227,,,,176887.0109,142594.6795,,,1972
78,,65685.34319,,,,,,,,88240.17879,,,,1972
79,,,,24582.67084,,,,,,,,,,1972
80,,80921.24223,,,,,,,,,,,,1972
81,,116205.9782,,10342.24652,,,,,,,58589.39131,,,1972
83,,81677.51031,,20612.09694,,,,,,,,,,1972
87,,74010.78641,,,,,,,,,,,,1972
88,,57427.53155,,,,,,,,,,,,1972
89,,,,,,,,,,,53206.49029,,,1972
91,,57413.72501,,,,,,,,,,,,1972
92,,181808.1838,,,,,,,,,,,,1972
94,,,,,,,,,,,8655.290325,,,1972
99,,73962.33131,,,,,,,,,,,,1972
100,,90081.21066,,,,,,,,,,,,1972
104,,,,8755.673195,,,,,,,,,,1972
107,,73954.93431,,,,,,,,,,,,1972
131,,57387.59661,,,,,,,,,,,,1972
138,,57387.53817,,,,,,,,,,,,1972
9,,,,,231447.3491,,,,,,,,,1973
10,,,,,441132.248,886630.4188,,,,,,,,1973
11,1747320.81,,,,6968349.696,,,,,,,,476168.7512,1973
12,503810.9783,,,,8525886.989,,,,,,,,,1973
13,12309676.6,431775.3334,,,7570673.29,644974.4466,,,,,,,385345.4367,1973
14,5911977.763,,,,6094666.78,,,,,,,,513958.0702,1973
15,25137066.08,,,,20782131.83,963830.7419,,,1307664.91,,,,1555101.618,1973
16,34472163.63,2021921.381,,,17274978.3,943525.2969,,,2226896.54,,536985.1445,,4437942.471,1973
17,25676139.97,630563.9679,,,16708785,425709.3203,,,10556761.07,,,,3808179.37,1973
18,32547205.7,2809319.713,,,29339252.19,,,,17268431.43,,,760684.7536,5991825.573,1973
19,25856180.56,14337072.5,,,31120781.97,,163027.707,,34355222.68,,101042.7758,,7201716.055,1973
20,24892731.54,2833259.003,,,33712648.21,314599.9413,319116.4598,,31073124.04,,440326.8303,1547909.136,12946263.9,1973
21,33780560.34,10360778.97,,,46707383.72,,541271.0002,27177204.48,31120752.52,,,1975458.208,7899429.066,1973
22,24130711.67,19790738.67,,,56732093.36,,946774.7688,98875227.82,25389462.98,,337127.7211,1990762.002,12123660.28,1973
23,25710800.38,6528957.457,,,58080333.82,,1087305.449,171481591,14644981.77,,121042.375,2061346.628,13273313.08,1973
24,38712426.02,13828665.55,6247258.742,,40616431.99,,1137447.716,173489400.6,5320922.242,,1137103.715,1382431.542,24007391.6,1973
25,18545864.92,18483639.72,,,29174177.07,,512384.5423,133614460,2445014.51,,102831.6533,252883.7499,36987045.53,1973
26,29065336.37,20866100.46,762051.7333,,29551157.32,,889806.5632,45429158.73,9778780.163,,209298.3747,4306719.023,33050013.83,1973
27,36292874.14,18200188.32,,111625.796,25540837.64,,369318.7464,15472874.3,16437878.28,,285388.4726,2955193.745,34029769.77,1973
28,41419519.09,12736068.34,,,20049050.59,,274074.2996,5344606.909,30378337.89,,333483.7061,2618061.154,34160548.05,1973
29,45100564.07,7480513.529,829513,,11662888.65,,1585189.96,,29344712.78,,370776.2825,2349082.971,27048328.64,1973
30,37118892.9,14947792.86,,126802.9824,10397370.75,,528952.7422,,15090133.05,,579732.8673,2741397.679,30670525.29,1973
31,30408778.05,14922858.63,,,10484498.03,,1084268.437,,6239392.488,,957885.5245,3686688.812,20331346.65,1973
32,26318062.64,17855317.23,,50910.67388,12302332.4,,1371511.94,,3046688.947,,1201547.852,3697655.072,23160868.71,1973
33,20350225.1,8532486.701,829513,,9883745.195,,2016380.565,,1955605.484,,667622.1769,3069110.046,12728128.09,1973
34,15604089.67,19374708.06,,,7003132.729,,1217436.946,,549052.2008,,991158.4962,4660538.803,12401324.03,1973
35,12923165.89,6934920.08,,,6007017.423,,871419.3047,2672303.455,905676.386,,847680.4025,3013689.728,7768267.864,1973
36,7291118.516,9341025.011,16070850.25,,5367202.213,,742150.7448,,1186342.281,,686327.7947,3790066.064,7119297.971,1973
37,7734054.547,5561300.957,15241337.25,86143.33801,4162079.217,,416867.4538,,1102233.459,,445885.3083,2219658.017,3319447.024,1973
38,5678253.542,8613740.764,40230372.21,,3128974.088,,453788.5991,,589530.2911,,760126.9355,2955133.462,3029048.923,1973
39,6757992.159,7452958.673,93848759.99,,1810857.818,56875.45266,525570.5201,,311888.6705,,502358.549,1328378.285,1878879.265,1973
40,4668226.544,13978785.75,218654056,33564.45177,1644196.865,,677503.8718,,239803.9822,,712159.2441,2114935.791,2382854.627,1973
41,4457058.872,9400288.05,358972014.4,90649.14112,564518.9422,,69728.70036,,67248.11793,,398208.1804,2894257.425,898478.2894,1973
42,2215725.034,10695585.64,236905105.6,,450527.2849,,83434.70885,,579311.6318,,417008.224,1500584.508,487786.2345,1973
43,1307969.862,12557598.21,114838196.9,14224.16048,376809.4048,,178212.272,,407447.8693,,302244.7432,1400261.435,280234.3942,1973
44,1336267.543,12938534.44,6247258.742,,,,331647.1351,,147184.75,,198730.2312,1398275.782,117259.4284,1973
