length_cm,AMERICAN PLAICE,COD(ATLANTIC),HERRING(ATLANTIC),ATLANTIC HALIBUT ,REDFISH UNSEPARATED,"TURBOT, GREENLAND HALIBUT",HADDOCK,SANDLANCES,SILVER HAKE,SPINY DOGFISH,WHITE HAKE,WITCH FLOUNDER,YELLOWTAIL FLOUNDER,YEAR
36,3434640.275,549965.042,66213997.35,,7084551.855,,576399.6911,,1159043.83,,111340.0988,417714.0126,2769369.692,1970
37,3001769.084,571022.1268,93584998.06,52644.50634,7384436.922,,523631.2647,,712367.8002,,161328.7503,302770.4197,2023314.569,1970
38,2170416.448,482256.098,75314859.88,,4256622.948,,671692.5616,,247655.3908,,86220.0807,502068.7292,1425875.563,1970
39,1790243.098,424688.9911,10193460.97,,2987860.173,,642494.4271,,675968.2791,,73722.1469,303275.8999,1024071.119,1970
40,2183925.471,882228.5986,6793015.653,,2098387.265,,910629.4687,,155797.9753,,49171.42202,226646.684,997981.7947,1970
41,1651948.314,692690.5422,506861.0186,22689.60169,1657103.607,,1210683.535,,531162.4611,,100655.1895,520194.8563,1155736.718,1970
42,2108211.513,378017.8935,,,2395765.26,31788.02532,1166100.328,,,,172652.207,342611.3363,871548.6557,1970
43,1582214.922,2005960.387,,101174.3034,1979370.8,32861.10089,1089526.155,,231896.9616,,142547.4461,362929.7158,394220.2896,1970
44,984164.7393,779276.7099,,,2109519.314,34009.07042,1409339.288,,243153.2059,,196647.716,324081.1929,96996.17937,1970
45,704500.7202,784190.2302,,,1011782.742,35237.40711,1458597.383,,211883.8196,,95359.7731,462676.1827,335878.3799,1970
46,2139964.787,2887941.277,,,641173.5408,38688.4469,940166.0261,,184685.6873,,91813.08945,321077.3174,202818.8351,1970
47,633138.8871,1102904.432,,68445.92936,89263.18218,,1174519.017,,,,57800.02678,594716.9285,45368.47014,1970
48,1271452.497,1280491.965,,24405.9306,250103.0526,39456.17121,891810.4752,,138061.7958,,,337547.6146,34912.9504,1970
49,631433.3957,4448626.774,,,104941.7227,,1114073.63,,,,87543.49249,483432.5908,,1970
50,1003089.946,580860.9866,,,,,1187927.205,,150589.7898,,176345.0128,610912.8429,,1970
51,1508720.684,1363940.073,,,,,1550702.875,,217933.9103,,222981.7084,381196.4606,,1970
52,915140.3098,4611221.872,,82728.88459,,,1389127.777,,176172.272,,108712.2574,190755.6749,,1970
53,683885.7259,1488159.752,,,,,1113342.417,,,,273404.0863,299189.9967,,1970
54,312716.2968,1351550.478,,,,47711.44193,674999.9097,,,,284576.4158,306900.5656,,1970
55,699990.0047,4543983.861,,,,56112.41196,468489.9554,,,,225242.5322,66619.259,,1970
56,1087183.057,1044568.382,,,,,1082497.563,,,,544811.3839,34896.44313,,1970
57,637995.4321,1649488.143,,,,61353.48545,871998.4894,,,,173635.5792,,,1970
58,188659.4264,2627429.53,,,,128402.775,801659.5661,,,,243403.0152,38607.33166,,1970
59,16532.38581,676668.6912,,,,,753580.8001,,,,448905.765,61040.8562,,1970
60,128399.4569,921772.4322,,,,,480270.642,,,,238814.1715,245680.5024,,1970
61,835591.3736,2971206.452,,,,,251779.3485,,,,729975.1289,50335.08259,,1970
62,1089953.476,1321535.549,,,,,562926.6378,,,,413405.0404,,,1970
63,566581.4885,902830.0192,,,,,696925.5883,,,,210422.2845,,,1970
64,,1572884.223,,,,,1225749.075,,,,356112.2339,,,1970
65,,1077056.903,,,,,715411.3323,,,,547618.9264,,,1970
66,,307015.1198,,,,,984502.8434,,,,481635.5699,,,1970
67,,1410092.53,,,,,700674.581,,,,690781.8569,,,1970
68,126540.2532,1513792.469,,183606.3683,,,80118.50997,,,,185185.5806,,,1970
69,,431390.2912,,,,,213404.0068,,,,1088576.82,,,1970
70,,749364.467,,,,,258948.094,,,,655191.8114,,,1970
71,,1293427.185,,,,102701.4509,180954.1157,,,,704935.5358,,,1970
72,,270700.9377,,,,,369414.75,,,,852425.5425,,,1970
73,,1367593.049,,341573.8292,,,96420.22522,,,,272780.0862,,,1970
74,,1047396.053,,355949.4592,,,100013.8334,,,,1106264.258,,,1970
75,,1071058.942,,,,,,,,,1051244.326,,,1970
76,,715492.6203,,,,,,,,,303584.5991,,,1970
77,,595014.8084,,,,,111505.9502,,,,,,,1970
78,,546761.5776,,,,,115581.8632,,,,139749.1707,,,1970
79,,,,,,,,,,,349552.7668,,,1970
80,,,,,,,,,,,593247.1133,,,1970
81,,490653.8733,,,,,,,,,407961.9279,,,1970
82,,586969.7584,,,,,,,,,,,,1970
83,,243698.7428,,,,,,,,,220627.7694,,,1970
84,,1234757.936,,,,,,,,,,,,1970
85,,856657.2064,,,,,,,,,,,,1970
86,,466019.3672,,,,,,,,,,,,1970
88,,991972.5039,,,,,,,,,,,,1970
91,,175565.921,,,,,,,,,,,,1970
96,,207064.452,,,,,,,,,,,,1970
98,,697155.0552,,,,,,,,,,,,1970
102,,240134.4495,,,,,,,,,874835.6814,,,1970
103,,812937.034,,,,,,,,,,,,1970
105,,862681.7627,,,,,,,,,,,,1970
110,,580938.1254,,,,,,,,,,,,1970
111,,1308724.381,,,,,,,,,,,,1970
136,,1918286.382,,,,,,,,,,,,1970
7,,,,,8830.645804,,2682.347637,,,,,,,1971
8,,5458.199221,,,62024.53922,,2531.497345,,,,574.0333788,,,1971
9,,17842.69909,,,56761.38688,,,,,,,,,1971
10,15053.40995,16235.13258,,,54670.28188,,,,,,,,,1971
11,41987.52216,,,,130849.7841,,,,,,,,,1971
12,255963.5549,,,,377349.2808,,,,6774.67952,,,,,1971
13,212995.553,,,,807744.3628,,,,,,,,31893.54832,1971
14,348454.1674,,,,659870.5748,19836.18837,,,49477.70888,,,,90424.83207,1971
15,339506.6501,184235.1653,,,730306.5147,,,,18930.34202,,12145.43565,,56598.86228,1971
16,683839.5547,123809.8236,,,460862.0528,,,,34120.66764,,,13285.40213,23808.31521,1971
17,1764778.932,599183.4585,,,1149687.808,,11261.88357,,216814.2001,,,,258150.2541,1971
18,2092936.918,319765.61,,,1862089.464,,36461.18968,,317851.2518,,,8159.046938,539598.1264,1971
19,3084176.655,171180.9039,,,2799319.655,,75883.49337,79145.06776,282857.8047,,,,519114.6148,1971
20,2888386.108,287555.6541,,,4203683.914,,94383.93927,90894.58499,282218.0102,,,8029.119708,908139.8149,1971
21,4265039.289,320022.5515,,,5538096.482,,200354.3447,207371.2623,301949.4022,,14929.93869,10346.93421,1843201.414,1971
22,5663752.919,272421.3095,,,5913154.093,,436765.8769,118581.8299,230416.6286,,18761.17142,44512.15204,2439373.165,1971
23,7618671.741,367145.7985,,,6619807.603,,280856.7925,132536.253,117898.7339,,5853.84306,23414.3676,1933708.575,1971
24,6648119.381,507791.2061,,,9476660.652,,489162.7053,,40808.41354,,33228.28264,10294.85194,3069069.732,1971
25,7165129.859,666617.9513,304555.552,,18035085.93,,102484.6127,,75383.02707,,101876.0387,47875.98539,2826738.012,1971
26,9154144.316,666910.0617,327206.0032,,19697753.96,,361906.3691,,112147.3245,,,85333.68666,5863861.306,1971
27,9946953.882,1011295.524,781340.8727,,18858533.33,,125918.0746,,1175011.215,,89734.15433,81560.30173,5414286.761,1971
28,5994856.533,1173723.559,1667458.146,,13270668.07,,317482.2594,,2117937.032,,42550.43929,294135.9773,5569739.924,1971
29,7150462.604,1344700.896,165059.1106,,13631140.13,,212047.176,,1922571.484,,46871.63974,171602.6131,4147022.3,1971
30,6904539.062,1208514.651,3033035.625,,19126494.57,,900760.3352,,1353257.554,,89763.57414,215321.8839,6571434.109,1971
31,6178185.313,5644558.384,7258833.491,,14804135.46,,875802.6563,,1062724.095,,61988.87541,601539.6081,4254733.955,1971
32,6077285.385,2302871.422,,,14998413.18,,1913455.706,,758088.4349,,83505.28192,521649.3753,3590401.018,1971
33,4717271.127,1896695.848,10731176.74,,11590674.44,66043.37022,525715.8749,,599875.8676,,208298.8421,524204.6361,3190195.839,1971
34,3572003.807,7613982.37,10955696.19,,12893004.23,,1290827.806,,246103.9274,,176294.5147,649341.7611,2403029.774,1971
35,3637899.492,2026355.416,15698653.98,,15291411.83,,364086.0067,,173862.9453,,138720.752,589806.3192,1925549.08,1971
36,3574404.297,1725862.421,18167389.23,,14055724.26,,746893.8381,,133897.1639,,183638.6674,761319.0403,2757574.985,1971
37,2905051.848,5184249.823,33208499.62,,10402868.35,,220479.1273,,72675.43327,,314376.0325,1058364.603,980296.377,1971
38,2545321.592,1456348.262,36566703.88,,4798313.27,205367.3684,271097.4944,,19036.15983,,246241.6168,590611.3881,1388376.58,1971
39,2572924.225,1822168.845,19019334.74,,3459008.624,70475.19297,320029.7641,,53790.14166,,229700.6127,1111635.555,484822.5306,1971
40,2334599.933,5271015.492,3751893.85,,3006839.44,,721693.1252,,,,372124.0652,1069518.348,726856.5008,1971
41,2647718.337,1691541.971,,,1696180.09,,379575.4084,,84649.73597,,161125.6603,612024.025,472045.0314,1971
42,1985076.353,1625300.81,,,2033045.388,,966979.252,,21037.9371,,104120.3729,501091.294,239856.4358,1971
43,1946613.997,3470326.694,,,1888612.002,,1067105.503,,,,68678.22639,409604.4964,128861.0014,1971
44,1548899.576,1197361.329,,,725385.1683,,1434679.043,,,,226294.7316,522376.1103,177273.8048,1971
45,885869.0245,1723294.712,,,748480.653,85707.02678,463028.6522,,47009.06102,,75033.86113,419599.421,89169.7995,1971
46,1715829.939,5357263.226,,,106822.3161,,959379.4863,,,,65353.23281,396606.9649,91102.11946,1971
47,1798767.989,2614119.454,,,130297.884,,603700.0158,,64502.95403,,68112.19327,351377.7804,,1971
48,1864254.212,3115318.362,,,,,1179920.98,,,,258634.2883,359512.0684,,1971
49,1086595.603,5047887.658,,,,110526.4545,336350.224,,,,105080.2611,353044.5345,29679.92518,1971
50,2118601.901,3093085.134,,,,,1181249.395,,,,17557.78782,226452.149,551656.0158,1971
51,945306.4683,2284656.387,,,,,537040.68,,,,109154.3767,431476.4076,,1971
52,737243.9828,9103347.099,,15801.5769,,,759894.0803,,,,95189.84052,354871.667,,1971
53,1060544.388,3157534.04,,,,,513047.5075,,,,19964.21511,323849.6983,,1971
54,469089.3776,2580965.649,,,,115044.1407,427843.5868,,,,,221321.8257,,1971
55,796375.9615,6500415.125,,,,,378108.35,,,,227498.8393,181540.1414,,1971
56,492274.5095,4093745.045,,,175179.9186,,439791.6533,,,,75801.41987,,,1971
57,1858714.883,2359646.091,,,,,427480.2059,,,,76147.07284,,,1971
58,417494.1684,7125786.094,,,,,360428.974,,,,,104650.2649,,1971
59,519225.1258,2999665.458,,,,,137936.7534,,,,,109782.2956,,1971
60,600511.7841,2878583.893,,,,,108541.823,,,,81249.97024,,,1971
61,156951.3781,4254762.94,,,,,245278.9251,,,,409276.4173,,,1971
62,163086.0771,3042718.869,,44195.89927,,,267770.5699,,,,29553.46851,,,1971
63,912557.7186,2026776.761,,,,,120717.8445,,,,129815.4991,,,1971
64,,1196508.086,,173555.6992,,,75044.45139,,,,32236.11267,,,1971
65,487942.9648,1134427.064,,57404.89529,,,73005.09381,,,,,,,1971
66,,2117076.472,,189129.4388,,105202.5351,67216.0439,,,,142289.5532,,,1971
67,96593.77487,999341.6509,,197388.6455,,,745025.6241,,,,31666.53496,,,1971
68,,243079.1679,,,,,72095.95028,,,,48909.38815,,,1971
69,88292.14209,544384.7413,,,,,,,,,74411.36011,,,1971
70,,968717.5272,,,,,,,,,186607.1243,,,1971
71,,785410.7765,,,,,223990.6245,,,,,,,1971
72,,1147458.875,,,,,,,,,,,,1971
73,,404922.2873,,62071.98523,,,,,,,141564.1452,,,1971
74,,421616.7992,,,,,,,,,553281.8029,,,1971
75,,211290.8204,,,,,,,,,,,,1971
76,,49955.23969,,,,,,,,,278541.5243,,,1971
77,,91864.72729,,94515.58092,,,,,,,,,,1971
78,,566522.86,,,,,,,,,,,,1971
79,,,,,,,,,,,303227.1453,,,1971
80,,1457903.842,,,,,,,,,,,,1971
83,,1909316.9,,,,,,,,,70056.72265,,,1971
85,,,,,,,,,,,75844.95637,,,1971
86,,128041.4081,,,,,,,,,,,,1971
87,,,,224383.1092,,,,,,,,,,1971
90,,,,,,,,,,,366552.3312,,,1971
91,,384644.7612,,,,,,,,,,,,1971
100,,511469.4356,,,,,,,,,,,,1971
105,,132316.0342,,,,,,,,,,,,1971
111,,937234.4278,,,,,,,,,,,,1971
124,,3134423.62,,,,,,,,,,,,1971
4,,,,,,,157.8238923,1899.265636,,,,,,1972
5,,,,,,,,16647.3187,,,,,,1972
6,2570.50612,,,,587.5892812,,1213.844751,30631.76674,,,,,,1972
7,3748.052387,,,,4553.310025,,,24076.65505,,,,,,1972
8,7210.14539,,,,22396.22448,,1075.608903,2465.828003,,,,,,1972
9,46650.46734,,,,11487.41652,,,,,,,,,1972
10,90767.08959,,,,19441.45618,,,,,,,,,1972
11,141038.4509,,,,104014.3295,,,,4788.930933,,,,9820.539121,1972
12,31173.37699,,,,112105.3272,,,,,,,9864.516175,11631.12459,1972
13,134445.6945,,,,242343.6798,,,,6903.408855,,,,57376.96472,1972
14,227406.6916,,,,515928.8245,,,,48167.43458,,,14363.03976,19523.19889,1972
15,421602.6422,12024.01341,,,2267742.188,,,,180126.1117,,1446.474975,15499.41099,31677.08655,1972
16,487391.0347,228240.9501,,,2593703.598,,,,231301.9919,,1638.187121,10070.94614,84848.60775,1972
17,933244.2854,134564.7472,30302.40822,17458.63314,6288567.181,,17963.74121,,501858.4785,,,,231444.1843,1972
18,1085410.571,213349.9546,37442.26039,,8200576.205,,26096.869,674092.5895,591025.7872,,,,336016.7371,1972
19,1719798.262,2135569.615,68511.88681,,9228146.133,,149416.5718,779982.1524,765577.6685,,,,223544.6092,1972
20,2963466.562,290260.9741,,,9763960.082,,246919.2664,7714395.168,839391.5376,,,5502.129829,466278.0838,1972
21,3073524.007,222058.4079,107661.6363,,9985443.278,,236654.9427,60166574.85,739101.3109,,,7380.722108,746201.2604,1972
22,4188848.884,1126021.046,125539.2621,,9199548.124,,275003.302,157264637.7,1542325.384,,,,1278795.927,1972
23,5455710.894,171646.9852,148527.5321,,8672818.388,,296149.0371,195593729.2,1130145.583,,,6651.879329,1746362.126,1972
24,6163536.042,103098.1185,,,8822890.715,,157501.6187,163788570.7,419907.9474,,,42006.22674,1730866.245,1972
25,7345949.553,513201.6702,,,8714245.62,,17999.06662,64404713.15,1524443.844,,,88276.26096,2241914.059,1972
26,7856379.159,296532.6929,239466.533,,10640773.85,,191503.3314,14682687.34,3551075.338,,,128317.5487,3265563.842,1972
27,5907432.091,202580.599,141459.3531,,7594134.168,,95896.03426,,5502380.425,,22161.9251,64838.79369,3917627.275,1972
28,8167887.52,567579.8308,,15442.57671,7369571.266,,243231.6622,,5724058.22,,27296.77328,132447.3688,6308140.135,1972
29,6241292.314,279170.3024,,,4620118.656,,24111.20833,,3522752.292,,16286.733,91784.64599,5846750.253,1972
30,6858696.383,437237.9917,,,6320917.132,,351915.7393,,2096924.412,,30875.05888,204547.9542,6146077.107,1972
31,5997061.085,1398204.129,3098512.901,,5083776.097,,376548.6345,,979914.7964,,52571.82059,332174.9474,5688335.163,1972
32,5640799.294,665655.5004,,22004.45773,4812840.059,,427579.3819,,1345424.28,,,329160.5584,6260262.549,1972
33,3716798.239,651366.0038,2078268.975,,3338189.452,,355212.5542,,922003.8926,,9004.176292,399662.0462,5568782.874,1972
34,3429206.903,1254060.303,7856473.899,,5149110.296,,371528.1725,,543775.6112,,84441.77365,691602.4645,4366209.044,1972
35,3177968.189,644613.4104,9556670.129,34592.17859,4186625.327,,218417.02,,952763.2392,,,495009.4805,3462373.136,1972
36,3028335.412,584617.5054,11317197.62,39153.14066,3976234.517,,356738.1228,,645379.0254,,5482.557544,432350.8546,2769108.593,1972
37,3617098.809,845627.7772,22332519.29,,3600102.07,,319622.6,,291177.9554,,107723.7361,564085.5199,2421096.365,1972
38,2556358.372,889126.5721,32571744.02,,2866733.833,135638.8804,333650.9719,,99580.89276,,42616.43201,327242.2989,1845948.496,1972
39,2643795.566,799309.4331,38072098.62,,2050456.535,26078.0163,237828.0711,,11472.72577,,6152.377636,546724.3431,1600293.37,1972
40,1877385.783,5502013.656,28279459.74,,865012.8466,,443081.2049,,,,282378.8827,330773.0682,899180.0691,1972
41,1391472.757,780976.2802,3234176.966,,412501.8863,,498226.8075,,120609.4468,,149958.8509,450563.616,462425.7792,1972
42,1108193.421,723951.9861,,,584891.7035,,448332.9686,,178199.176,,77515.26909,303462.4295,294599.869,1972
43,1110365.099,12631473.23,,,174363.0807,,226683.224,,68000.36958,,614443.0394,347753.5158,424719.9328,1972
44,1203199.364,897439.1827,,,86219.35101,,323203.6658,,21620.33342,,204330.3417,425009.2949,112198.0957,1972
45,1435443.995,749339.8913,,,,,311024.8097,,28867.41538,,158038.5797,264623.3582,131616.5046,1972
46,1067289.718,11354366.46,,,32858.41639,,299106.0215,,,,801417.6816,185214.6381,52159.61449,1972
47,1000416.814,1116367.824,,,60603.05217,,718611.9248,,110603.6572,,165146.9146,235535.8644,,1972
48,758434.6403,829142.265,,,,,305028.7633,,,,164741.4134,275432.8406,159554.6775,1972
49,705149.0945,3840812.361,,,,,278304.9828,,52877.73084,,1173295.014,210036.6642,34007.46244,1972
50,797118.9972,2795301.404,,34271.16724,,,844837.3929,,27552.15616,,206701.4588,434609.4571,,1972
51,557803.7465,2327988.112,,,,,739957.6655,,72398.75946,,81071.80261,357866.073,,1972
52,311223.9842,973473.5856,,,,,148606.623,,,,923229.7354,500631.2092,37287.34474,1972
53,310495.6546,2540494.062,,,,192340.0885,549371.8821,,,,64189.58034,181718.496,38795.00545,1972
54,666647.7361,2329622.159,,,,,185849.0632,,,,80165.8436,40405.23672,,1972
55,445589.5551,2607849.354,,,,,483605.5576,,,,864879.8586,128894.0794,,1972
56,787302.8586,1645827.762,,,,,403676.1531,,125540.3259,,72896.53142,221679.9985,,1972
57,809134.8008,1446361.459,,37026.51365,,,203221.9043,,,179681.0324,233041.3617,253404.4473,,1972
58,883815.7005,2635760.594,,,,,218162.4273,,,93373.5554,682490.1729,122653.8509,,1972
59,154371.8164,2847203.086,,,,,124418.0848,,142735.6077,,346610.0355,,,1972
60,402448.4548,1536063.989,,,,,72625.19362,,106129.7015,100892.666,118834.7009,134436.5345,,1972
61,61575.94962,1523766.277,,,,,388026.3966,,,,567388.4324,38895.46465,,1972
62,551848.8641,1270088.21,,,,,104600.6009,,,,201797.8427,,,1972
63,373769.308,308997.3739,,,,,567118.0589,,,,237654.8464,,,1972
64,269964.3344,852216.9923,,,,66083.00838,126939.35,,,,736775.0712,,,1972
65,781469.3322,835239.1487,,,,,155946.0527,,,,392330.2195,,,1972
66,116607.7525,155042.8338,,,,,,,,254566.694,132460.5187,,,1972
67,,484259.1326,,,,,,,,264537.3214,34643.66956,,,1972
68,178634.3842,685620.0516,,,,,369696.2339,,,,20896.47888,,,1972
69,222072.7099,368596.8031,,,,,41127.53482,,,,21784.07619,,,1972
70,,566939.6832,,97755.12519,,,,,,148278.8189,628349.9781,,,1972
71,380069.2962,,,,,,,,,,73311.82252,,,1972
72,,177990.6685,,,,,,,,159853.0004,,,,1972
73,144902.85,177504.5514,,,,,,,,663666.9611,,,,1972
74,,57070.45151,,,,,,,,688670.7233,62457.41373,,,1972
75,,163492.5933,,78692.02363,,,,,,535823.5795,,,,1972
76,,,,,,,,,,370478.5794,,,,1972
77,,453621.8047,,,,262139.6709,,,,384127.9219,556379.8456,,,1972
78,,310847.4897,,,,,,,,199083.846,,,,1972
79,,,,141712.8914,,,,,,,,,,1972
80,,414201.6677,,,,,,,,,,,,1972
81,,618151.4244,,64508.71347,,,,,,,268832.0492,,,1972
83,,468589.6597,,138839.8313,,,,,,,,,,1972
87,,491274.7212,,,,,,,,,,,,1972
88,,394938.2986,,,,,,,,,,,,1972
89,,,,,,,,,,,330023.9127,,,1972
91,,438063.054,,,,,,,,,,,,1972
92,,1434966.236,,,,,,,,,,,,1972
94,,,,,,,,,,,63949.44305,,,1972
99,,732691.959,,,,,,,,,,,,1972
100,,920597.6856,,,,,,,,,,,,1972
104,,,,120068.0588,,,,,,,,,,1972
107,,932076.7945,,,,,,,,,,,,1972
131,,1354040.777,,,,,,,,,,,,1972
138,,1591050.755,,,,,,,,,,,,1972
9,,,,,2461.384083,,,,,,,,,1973
10,,,,,6462.247157,4703.237377,,,,,,,,1973
11,16243.2649,,,,136384.4055,,,,,,,,5517.151164,1973
12,6188.17613,,,,217389.7331,,,,,,,,,1973
13,195364.5252,9198.464845,,,246206.3357,8258.40897,,,,,,,7327.259218,1973
14,118955.1597,,,,248282.1161,,,,,,,,12174.67934,1973
15,630817.4014,,,,1044152.227,19956.74797,,,28860.71315,,,,45200.13565,1973
16,1063658.4,80157.03881,,,1056061.594,24265.10338,,,60184.135,,14726.07213,,156198.6616,1973
17,961978.611,29967.9383,,,1228139.902,13420.61186,,,345103.2881,,,,160430.6239,1973
18,1464304.769,158407.8335,,,2565709.394,,,,675434.1065,,,20762.9573,299046.9564,1973
19,1383138.736,950316.6462,,,3207625.526,,11101.93108,,1592285.727,,4759.575781,,421935.0803,1973
20,1569279.226,218939.0443,,,4061055.017,17118.9551,25440.37929,,1691726.674,,24375.96052,60583.10165,883102.6021,1973
21,2489660.162,926417.8464,,,6525893.471,,50128.72333,552873.9303,1974696.865,,,91359.89882,622724.3865,1973
22,2064106.63,2033785.696,,,9130505.746,,101154.9544,2280493.548,1864294.543,,25193.04257,107948.4326,1097093.957,1973
23,2535656.07,766353.3838,,,10699818.03,,133168.3784,4459179.42,1236349.659,,10403.84977,130132.1793,1370363.358,1973
24,4375289.04,1843527.851,667291.009,,8515937.674,,158768.918,5060447.715,513395.0759,,111748.1697,100949.2389,2811971.696,1973
25,2388739.556,2784094.523,,,6924985.765,,81076.71888,4351225.313,268157.5414,,11491.46355,21233.65232,4889758.603,1973
26,4244589.905,3534148.469,102867.0737,,7902608.387,,158827.3789,1644592.365,1212982.024,,26462.65642,413538.4062,4908163.86,1973
27,5980835.522,3450987.601,,22025.23024,7660419.04,,74026.21686,620190.4445,2295401.499,,40634.90191,322865.4476,5652096.442,1973
28,7668613.773,2692426.316,,,6716152.228,,61429.2866,236315.1675,4754983.839,,53242.20133,323923.5073,6319907.814,1973
29,9343085.01,1756397.72,153507.7174,,4346676.185,,395738.6907,,5127991.532,,66109.98348,327711.7559,5552876.566,1973
30,8571274.689,3884239.865,,34867.44683,4295646.167,,146546.9162,,2933061.38,,115008.569,429466.4019,6962388.471,1973
31,7799118.452,4277346.145,,,4785626.72,,332235.42,,1344205.46,,210689.6515,646108.6567,5086638.989,1973
32,7472206.555,5627700.053,,17154.94006,6184298.486,,463307.0502,,725149.5698,,292061.7285,722371.7053,6366585.227,1973
33,6376082.742,2948565.869,203313.703,,5455650.396,,748683.7724,,512654.8423,,178785.6255,666132.4205,3833053.93,1973
34,5379419.829,7320636.693,,,4232788.569,,495453.8876,,158070.0301,,291579.6814,1120297.128,4080317.932,1973
35,4888490.449,2857652.704,,,3965152.338,,387668.1344,215763.9814,285575.7836,,273196.7091,799942.8401,2785358.977,1973
36,3018375.356,4187511.321,5074516.903,,3859558.512,,360007.5461,,408655.7366,,241706.1025,1107789.66,2775066.962,1973
37,3495313.873,2706005.294,5209163.701,45857.80438,3252892.429,,219975.3999,,413778.8335,,171173.5358,712524.7922,1403418.745,1973
38,2794972.076,4539265.906,14847774.82,,2651956.365,,259903.0616,,240631.1538,,317364.2674,1039223.223,1386027.989,1973
39,3614937.521,4244868.48,37319093.5,,1660883.941,29159.34839,326021.4658,,138118.5737,,227613.0025,510554.597,928574.1932,1973
40,2707951.706,8588006.429,93485153.75,22841.45134,1628662.389,,454262.4789,,114979.1684,,349440.0127,886398.996,1269463.823,1973
41,2798168.545,6217837.138,164689388.6,66678.78866,602771.5712,,50437.36448,,34841.83342,,211185.0782,1319933.623,515027.3209,1973
42,1502624.294,7603351.094,116407974.5,,517614.9175,,64988.9242,,323727.8699,,238584.2068,743146.1807,300321.0559,1973
43,956429.1386,9577954.294,60328671.89,12156.44384,465018.5627,,149219.4365,,245139.8552,,186219.2713,751587.1924,185003.9371,1973
44,1051760.216,10570955.44,3502845.54,,,,298014.5316,,95179.0404,,131631.2547,811924.9021,82873.16198,1973
