V,Country,Division,Species Name,Metric Tonnes
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC MACKEREL - MAC,212
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN ANGLER - ANG,147
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,SCULPINS (NS) - SCU,131
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,SKATES (NS) - SKA,126
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,CUSK (TUSK) - USK,95
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC MACKEREL - MAC,63
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,WHITE HAKE - HKW,59
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,AMERICAN ANGLER - ANG,58
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,SILVER HAKE - HKS,40
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC HERRING - HER,32
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,SQUIDS (NS) - SQU,31
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,WITCH FLOUNDER - WIT,28
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WITCH FLOUNDER - WIT,26
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,BARNDOOR SKATE - RJL,22
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,WITCH FLOUNDER - WIT,21
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,WHITE HAKE - HKW,21
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,CUSK (TUSK) - USK,16
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,WINTER SKATE - RJT,16
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,POLLOCK (SAITHE) - POK,15
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,SKATES (NS) - SKA,13
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WHITE HAKE - HKW,11
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,DOGFISHES (NS) - DGX,11
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,ALEWIFE - ALE,10
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,GREENLAND HALIBUT - GHL,10
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,POLLOCK (SAITHE) - POK,9
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,SCULPINS (NS) - SCU,8
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,CUSK (TUSK) - USK,7
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,RED HAKE - HKR,6
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,GROUNDFISHES (NS) - GRO,6
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN PLAICE - PLA,5
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC WOLFFISH - CAA,4
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,YELLOWTAIL FLOUNDER - YEL,4
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC BUTTERFISH - BUT,3
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,GREENLAND HALIBUT - GHL,3
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,FLATFISHES (NS) - FLX,3
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HERRING - HER,3
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,STRIPED BASS - STB,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,GROUNDFISHES (NS) - GRO,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ALEWIFE - ALE,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,GREENLAND HALIBUT - GHL,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC MACKEREL - MAC,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,AMERICAN ANGLER - ANG,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,SQUIDS (NS) - SQU,2
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN SHAD - SHA,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,AMERICAN ANGLER - ANG,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,WINTER SKATE - RJT,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,GREENLAND HALIBUT - GHL,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,SCULPINS (NS) - SCU,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,SQUIDS (NS) - SQU,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,TILEFISH - TIL,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,WINTER FLOUNDER - FLW,1
2021,PORTUGAL - E/PRT,4VS,GREAT BLUE SHARK - BSH,3
2021,SPAIN - E/ESP,4VS,GREAT BLUE SHARK - BSH,118
2021,SPAIN - E/ESP,4VS,SWORDFISH - SWO,8
2021,UNITED STATES OF AMERICA - USA,4X,SEA SCALLOP - SCA,1060
2021,UNITED STATES OF AMERICA - USA,4X,AMERICAN LOBSTER - LBA,953
2021,UNITED STATES OF AMERICA - USA,4X,SOFT CLAM - CLS,343
2021,UNITED STATES OF AMERICA - USA,4X,SEA URCHIN - URC,152
2021,UNITED STATES OF AMERICA - USA,4X,POLLOCK (SAITHE) - POK,135
2021,UNITED STATES OF AMERICA - USA,4X,PERIWINKLES (NS) - PER,77
2021,UNITED STATES OF AMERICA - USA,4X,ACADIAN REDFISH - REN,54
2021,UNITED STATES OF AMERICA - USA,4X,AMERICAN ANGLER - ANG,41
2021,UNITED STATES OF AMERICA - USA,4X,WHITE HAKE - HKW,33
2021,UNITED STATES OF AMERICA - USA,4X,HADDOCK - HAD,27
2021,UNITED STATES OF AMERICA - USA,4X,ALEWIFE - ALE,22
2021,UNITED STATES OF AMERICA - USA,4X,SEAWEEDS (NS) - SWX,14
2021,UNITED STATES OF AMERICA - USA,4X,JONAH CRAB - CRJ,11
2021,UNITED STATES OF AMERICA - USA,4X,WINTER SKATE - RJT,7
2021,UNITED STATES OF AMERICA - USA,4X,ATLANTIC ROCK CRAB - CRK,7
2021,UNITED STATES OF AMERICA - USA,4X,SILVER HAKE - HKS,2
2021,UNITED STATES OF AMERICA - USA,4X,WITCH FLOUNDER - WIT,2
2021,UNITED STATES OF AMERICA - USA,4X,AMERICAN PLAICE - PLA,1
2021,UNITED STATES OF AMERICA - USA,4X,ATLANTIC HALIBUT - HAL,1
2021,UNITED STATES OF AMERICA - USA,4X,ATLANTIC COD - COD,1
2021,UNITED STATES OF AMERICA - USA,4X,MARINE CRABS (NS) - CRA,1
2020,CANADA GULF - CAN-G,4VN,PINK (=PANDALID) SHRIMPS - PAN,190
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,4285
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,CLAMS (NS) - CLX,1110
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC REDFISHES (NS) - RED,688
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,210
2020,CANADA NEWFOUNDLAND - CAN-N,4W,SILVER HAKE - HKS,129
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,MARINE MOLLUSCS (NS) - MOL,38
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC HALIBUT - HAL,18
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,NORTHERN PRAWN - PRA,6
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,WHITE HAKE - HKW,4
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC COD - COD,2
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,POLLOCK (SAITHE) - POK,1
2020,CANADA NEWFOUNDLAND - CAN-N,4VS,AMERICAN PLAICE - PLA,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HERRING - HER,47260
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HERRING - HER,6988
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,HADDOCK - HAD,5814
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC REDFISHES (NS) - RED,3032
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,SILVER HAKE - HKS,2553
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,POLLOCK (SAITHE) - POK,2527
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC REDFISHES (NS) - RED,2423
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HALIBUT - HAL,1927
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,NORTHERN PRAWN - PRA,1107
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC MACKEREL - MAC,851
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC HALIBUT - HAL,753
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,NORTHERN PRAWN - PRA,722
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HALIBUT - HAL,639
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,WINTER FLOUNDER - FLW,573
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC COD - COD,541
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,NORTHERN PRAWN - PRA,458
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC REDFISHES (NS) - RED,440
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HAGEFISH - MYG,339
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,WHITE HAKE - HKW,309
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,RED HAKE - HKR,242
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC REDFISHES (NS) - RED,216
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC MACKEREL - MAC,200
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HALIBUT - HAL,200
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,SCULPINS (NS) - SCU,108
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,SILVER HAKE - HKS,99
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC MACKEREL - MAC,81
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,CUSK (TUSK) - USK,79
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,SKATES (NS) - SKA,75
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN ANGLER - ANG,66
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,AMERICAN ANGLER - ANG,55
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,WHITE HAKE - HKW,42
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WITCH FLOUNDER - WIT,38
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,WITCH FLOUNDER - WIT,33
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,HADDOCK - HAD,32
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,RED HAKE - HKR,32
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,WITCH FLOUNDER - WIT,28
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC COD - COD,26
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,WHITE HAKE - HKW,22
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,SQUIDS (NS) - SQU,21
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC COD - COD,17
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,CUSK (TUSK) - USK,13
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC COD - COD,12
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ALEWIFE - ALE,12
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,GREENLAND HALIBUT - GHL,11
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,CUSK (TUSK) - USK,10
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WHITE HAKE - HKW,9
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,POLLOCK (SAITHE) - POK,7
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,GREENLAND HALIBUT - GHL,6
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,SILVER HAKE - HKS,6
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,SCULPINS (NS) - SCU,6
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,(NORTHERN) SHORTFIN SQUID - SQI,5
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,POLLOCK (SAITHE) - POK,4
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN PLAICE - PLA,4
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,(NORTHERN) SHORTFIN SQUID - SQI,4
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,HADDOCK - HAD,3
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,GREENLAND HALIBUT - GHL,3
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,FLATFISHES (NS) - FLX,3
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC WOLFFISH - CAA,3
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,SQUIDS (NS) - SQU,2
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,WINTER SKATE - RJT,2
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC BUTTERFISH - BUT,2
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HERRING - HER,2
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,YELLOWTAIL FLOUNDER - YEL,2
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ALEWIFE - ALE,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,GREENLAND HALIBUT - GHL,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,WINTER FLOUNDER - FLW,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,SCULPINS (NS) - SCU,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,DOGFISHES (NS) - DGX,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,YELLOWTAIL FLOUNDER - YEL,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,WITCH FLOUNDER - WIT,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VS,AMERICAN ANGLER - ANG,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4W,GROUNDFISHES (NS) - GRO,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ALEWIFE - ALE,1
2020,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC BUTTERFISH - BUT,1
2020,SPAIN - E/ESP,4VS,GREAT BLUE SHARK - BSH,18
2020,SPAIN - E/ESP,4VS,SWORDFISH - SWO,5
2020,SPAIN - E/ESP,4VS,SHORTFIN MAKO SHARK - SMA,2
2020,UNITED STATES OF AMERICA - USA,4X,AMERICAN LOBSTER - LBA,863
2020,UNITED STATES OF AMERICA - USA,4X,SEA SCALLOP - SCA,674
2020,UNITED STATES OF AMERICA - USA,4X,SOFT CLAM - CLS,254
2020,UNITED STATES OF AMERICA - USA,4X,SEA URCHIN - URC,202
2020,UNITED STATES OF AMERICA - USA,4X,POLLOCK (SAITHE) - POK,158
2020,UNITED STATES OF AMERICA - USA,4X,BAY SCALLOP - SCB,97
2020,UNITED STATES OF AMERICA - USA,4X,AMERICAN ANGLER - ANG,86
2020,UNITED STATES OF AMERICA - USA,4X,WHITE HAKE - HKW,81
2020,UNITED STATES OF AMERICA - USA,4X,HADDOCK - HAD,59
2020,UNITED STATES OF AMERICA - USA,4W,SEA SCALLOP - SCA,38
2020,UNITED STATES OF AMERICA - USA,4X,ACADIAN REDFISH - REN,34
2020,UNITED STATES OF AMERICA - USA,4X,PERIWINKLES (NS) - PER,24
2020,UNITED STATES OF AMERICA - USA,4X,SEAWEEDS (NS) - SWX,24
2020,UNITED STATES OF AMERICA - USA,4X,ALEWIFE - ALE,14
2020,UNITED STATES OF AMERICA - USA,4W,AMERICAN LOBSTER - LBA,7
2020,UNITED STATES OF AMERICA - USA,4X,SPINY (=PICKED) DOGFISH - DGS,7
2020,UNITED STATES OF AMERICA - USA,4X,ATLANTIC HERRING - HER,5
2020,UNITED STATES OF AMERICA - USA,4X,WITCH FLOUNDER - WIT,4
2020,UNITED STATES OF AMERICA - USA,4X,AMERICAN PLAICE - PLA,3
2020,UNITED STATES OF AMERICA - USA,4X,WINTER SKATE - RJT,2
2020,UNITED STATES OF AMERICA - USA,4W,JONAH CRAB - CRJ,1
2020,UNITED STATES OF AMERICA - USA,4X,ATLANTIC COD - COD,1
2020,UNITED STATES OF AMERICA - USA,4X,ATLANTIC ROCK CRAB - CRK,1
2020,UNITED STATES OF AMERICA - USA,4X,ATLANTIC HALIBUT - HAL,1
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,4187
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,CLAMS (NS) - CLX,806
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC REDFISHES (NS) - RED,595
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,209
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC HALIBUT - HAL,13
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,MARINE MOLLUSCS (NS) - MOL,4
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,WHITE HAKE - HKW,2
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC COD - COD,1
2019,CANADA NEWFOUNDLAND - CAN-N,4VS,WITCH FLOUNDER - WIT,1
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HERRING - HER,43916
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,HADDOCK - HAD,4722
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HERRING - HER,4537
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC REDFISHES (NS) - RED,4094
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,SILVER HAKE - HKS,3013
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC REDFISHES (NS) - RED,2379
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,POLLOCK (SAITHE) - POK,2132
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HALIBUT - HAL,1887
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,NORTHERN PRAWN - PRA,1388
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,SILVER HAKE - HKS,951
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HALIBUT - HAL,709
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,NORTHERN PRAWN - PRA,670
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC HALIBUT - HAL,583
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC MACKEREL - MAC,508
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC COD - COD,485
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,WINTER FLOUNDER - FLW,480
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,RED HAKE - HKR,429
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,WHITE HAKE - HKW,366
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,NORTHERN PRAWN - PRA,327
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC REDFISHES (NS) - RED,308
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC MACKEREL - MAC,245
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,WHITE HAKE - HKW,173
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HALIBUT - HAL,166
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HAGEFISH - MYG,163
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC HAGEFISH - MYG,154
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,SCULPINS (NS) - SCU,147
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC REDFISHES (NS) - RED,125
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC MACKEREL - MAC,78
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC COD - COD,67
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,CUSK (TUSK) - USK,63
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN ANGLER - ANG,61
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,RED HAKE - HKR,55
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,SKATES (NS) - SKA,49
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WITCH FLOUNDER - WIT,34
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,SQUIDS (NS) - SQU,32
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,WITCH FLOUNDER - WIT,30
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,SQUIDS (NS) - SQU,24
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,DOGFISHES (NS) - DGX,22
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,HADDOCK - HAD,21
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC COD - COD,20
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,(NORTHERN) SHORTFIN SQUID - SQI,20
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,WITCH FLOUNDER - WIT,20
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,WHITE HAKE - HKW,18
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ALEWIFE - ALE,17
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC COD - COD,13
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,SCULPINS (NS) - SCU,12
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HERRING - HER,11
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,(NORTHERN) SHORTFIN SQUID - SQI,10
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,GREENLAND HALIBUT - GHL,10
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,AMERICAN ANGLER - ANG,10
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,CUSK (TUSK) - USK,9
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,POLLOCK (SAITHE) - POK,9
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,CUSK (TUSK) - USK,9
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,WHITE HAKE - HKW,7
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,POLLOCK (SAITHE) - POK,6
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,FLATFISHES (NS) - FLX,4
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC BUTTERFISH - BUT,4
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,HADDOCK - HAD,3
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,GREENLAND HALIBUT - GHL,3
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VS,GREENLAND HALIBUT - GHL,3
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC WOLFFISH - CAA,3
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,GROUNDFISHES (NS) - GRO,3
2019,CANADA SCOTIA - FUNDY - CAN-SF,4VN,SCULPINS (NS) - SCU,2
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,ALEWIFE - ALE,2
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,AMERICAN PLAICE - PLA,2
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,FLATFISHES (NS) - FLX,1
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,WINTER FLOUNDER - FLW,1
2019,CANADA SCOTIA - FUNDY - CAN-SF,4W,SKATES (NS) - SKA,1
2019,CANADA SCOTIA - FUNDY - CAN-SF,4X,GREENLAND HALIBUT - GHL,1
